X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,X153,X154,X155,X156,X157,X158,X159,X160,X161,X162,X163,X164,X165,X166,X167,X168,X169,X170,X171,X172,X173,X174,X175,X176,X177,X178,X179,X180,X181,X182,X183,X184,X185,X186,X187,X188,X189,X190,X191,X192,X193,X194,X195,X196,X197,X198,X199,X200,X201,X202,X203,X204,X205,X206,X207,X208,X209,X210,X211,X212,X213,X214,X215,X216,X217,X218,X219,X220,X221,X222,X223,X224,X225,X226,X227,X228,X229,X230,X231,X232,X233,X234,X235,X236,X237,X238,X239,X240,X241,X242,X243,X244,X245,X246,X247,X248,X249,X250,X251,X252,X253,X254,X255,X256,X257,X258,X259,X260,X261,X262,X263,X264,X265,X266,X267,X268,X269,X270,X271,X272,X273,X274,X275,X276,X277,X278,X279,X280,X281,X282,X283,X284,X285,X286,X287,X288,X289,X290,X291,X292,X293,X294,X295,X296,X297,X298,X299,X300,X301,X302,X303,X304,X305,X306,X307,X308,X309,X310,X311,X312,X313,X314,X315,X316,X317,X318,X319,X320,X321,X322,X323,X324,X325,X326,X327,X328,X329,X330,X331,X332,X333,X334,X335,X336,X337,X338,X339,X340,X341,X342,X343,X344
0.08108108108108109,2,1,0.025,0.14285714285714285,1,0.09090909090909091,0.16666666666666666,0.022935779816513763,0.01098901098901099,0.14285714285714285,0.019230769230769232,0.05,2,0.0625,0.0196078431372549,2,0.2,0.14285714285714285,1,0.038461538461538464,0.5,0.019230769230769232,0.022222222222222223,0.01098901098901099,0.14285714285714285,0.019867549668874173,0.1,0.08,0.5,0.03296703296703297,1,0.014925373134328358,0.054945054945054944,0.03571428571428571,0.009174311926605505,1,0.5,1,0.6666666666666666,1,0.03571428571428571,0.03571428571428571,0.14285714285714285,0.3333333333333333,0.057692307692307696,0.05263157894736842,0.5,0.5,1,0.03571428571428571,0.09090909090909091,0.007462686567164179,0.05,0.043010752688172046,0.06666666666666667,1,0.03571428571428571,0.019230769230769232,0.16666666666666666,0.013761467889908258,0.019230769230769232,0.038461538461538464,1,2,1,0.018518518518518517,0.25,1,0.013761467889908258,0.03571428571428571,1,5,0.08,4,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.07142857142857142,0.25,0.08333333333333333,1,0.007142857142857143,1,0.6666666666666666,0.02,0.0045871559633027525,0.02531645569620253,0.25,0.5,0.02702702702702703,0.057692307692307696,0.05263157894736842,0.02857142857142857,0.006622516556291391,1,1,0.03571428571428571,0.07692307692307693,0.16666666666666666,0.05555555555555555,0.013761467889908258,1,0.6666666666666666,0.0625,0.3333333333333333,1,0.08333333333333333,1,0.08695652173913043,0.5,0.0125,0.0625,0.14285714285714285,0.5,0.11428571428571428,0.125,0.02142857142857143,1,0.027777777777777776,1,0.01098901098901099,0.02857142857142857,1,0.046296296296296294,0.013761467889908258,0.03571428571428571,0.006622516556291391,0.25,0.18181818181818182,0.5,0.05,0.0375,0.125,0.014285714285714285,0.5,0.015384615384615385,0.6,0.75,0.015384615384615385,0.14285714285714285,0.025,2,0.014925373134328358,0.04,1,0.05263157894736842,0.09090909090909091,0.14285714285714285,1,0.10526315789473684,0.2222222222222222,0.025,0.011194029850746268,0.5,0.007246376811594203,1,0.014925373134328358,0.05,1,0.044444444444444446,0.028169014084507043,1,0.21428571428571427,0.2,0.05,0.16666666666666666,1,0.16666666666666666,0.25,0.16666666666666666,0.125,0.125,0.028985507246376812,0.125,1,0.25,0.007246376811594203,1,0.16666666666666666,0.125,1,1,1,0.4,0.09230769230769231,0.16666666666666666,0.020833333333333332,0.007462686567164179,0.125,0.3,0.16666666666666666,0.5,0.14285714285714285,1,1,1,0.07142857142857142,0.16666666666666666,0.1111111111111111,0.2,1,0.25,0.3333333333333333,0.2222222222222222,0.025,0.0125,1,0.125,0.14285714285714285,1,0.16666666666666666,1,0.05555555555555555,1,1,0.3333333333333333,0.04,0.034482758620689655,1,0.5,1,0.0045871559633027525,0.014285714285714285,0.022222222222222223,0.010752688172043012,0.14285714285714285,0.125,0.012658227848101266,0.5,0.6666666666666666,2,1,0.08333333333333333,2,0.03571428571428571,0.007462686567164179,0.029411764705882353,0.02564102564102564,0.5,0.022935779816513763,1,0.06666666666666667,0.25,0.16666666666666666,0.08196721311475409,0.1111111111111111,0.2,0.25,0.020833333333333332,0.017543859649122806,0.07692307692307693,0.2857142857142857,0.03508771929824561,0.11538461538461539,0.6666666666666666,0.2,0.16666666666666666,0.5,0.3333333333333333,0.4,1,0.14285714285714285,0.005128205128205128,0.014925373134328358,0.5,0.04,0.75,0.42857142857142855,0.04,0.014285714285714285,1,0.022222222222222223,0.3333333333333333,0.009174311926605505,0.5,1,0.2,0.007142857142857143,1,0.5,0.6666666666666666,0.034482758620689655,1,0.012987012987012988,0.16666666666666666,1,0.07142857142857142,0.013761467889908258,0.5,0.0045871559633027525,1,1,0.006622516556291391,0.030303030303030304,0.125,0.3333333333333333,0.011194029850746268,1,0.2,0.18181818181818182,0.030303030303030304,0.030303030303030304,0.16666666666666666,0.038461538461538464,0.16666666666666666,0.09090909090909091,0.5,0.3333333333333333,0.020512820512820513,0.030303030303030304,1,1,0.019230769230769232,0.043010752688172046,0.027522935779816515,2,0.2,1,0.057692307692307696,0.3333333333333333,1,0.020833333333333332,0.0625,1,0.028169014084507043,0.04395604395604396,1,0.3333333333333333,0.5,0.030303030303030304,1,0.20588235294117646,0.007246376811594203,0.4,1,0.25,0.0625,0.06060606060606061,0.3333333333333333,0.029411764705882353,1,0.4,0.5
0.6666666666666666,0.007462686567164179,0.007462686567164179,1,0.2,0.022222222222222223,0.05263157894736842,0.014925373134328358,1,0.041666666666666664,0.14285714285714285,0.25,0.007462686567164179,0.030303030303030304,0.1111111111111111,0.0037313432835820895,0.5,1,0.010752688172043012,0.014925373134328358,0.03333333333333333,0.038461538461538464,0.014285714285714285,0.5,1,0.6666666666666666,1,0.03225806451612903,1,1,1,0.5454545454545454,1,0.08571428571428572,0.014084507042253521,1,1,0.5,0.07142857142857142,0.5,1,0.1,0.030303030303030304,1,0.125,0.2,0.020512820512820513,0.16666666666666666,0.02531645569620253,0.2,1,0.029411764705882353,1,0.75,0.24,0.16666666666666666,0.027777777777777776,0.125,0.05,0.2,0.022222222222222223,0.020833333333333332,1,1,0.1,0.25,0.3333333333333333,2,0.01282051282051282,0.011194029850746268,0.018518518518518517,1,2,0.3333333333333333,0.5,1,1,0.058823529411764705,0.021505376344086023,0.3333333333333333,0.043478260869565216,0.041666666666666664,0.041666666666666664,1,0.013761467889908258,1,0.06428571428571428,0.043478260869565216,0.043478260869565216,0.028985507246376812,0.13333333333333333,0.009259259259259259,0.03125,0.5,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.25,1,0.06666666666666667,0.4,3,1,0.0045871559633027525,1,0.10526315789473684,0.3,0.3333333333333333,0.1111111111111111,1,2,0.02857142857142857,1,1,0.038461538461538464,0.014084507042253521,0.043478260869565216,1,5,0.015384615384615385,0.125,0.012987012987012988,0.013245033112582781,0.006622516556291391,0.08695652173913043,0.05263157894736842,1,1,0.018656716417910446,0.0045871559633027525,1,0.25,1,0.05263157894736842,0.019230769230769232,0.01282051282051282,0.02197802197802198,1,0.01098901098901099,0.034482758620689655,0.047619047619047616,0.5,1,0.3333333333333333,0.2,0.125,0.2727272727272727,0.02702702702702703,0.3333333333333333,0.18181818181818182,1,0.025974025974025976,0.25,0.5,0.14285714285714285,0.04395604395604396,1,0.058823529411764705,0.030303030303030304,0.3333333333333333,0.16666666666666666,0.1076923076923077,1,0.02142857142857143,0.058823529411764705,0.029850746268656716,0.5,0.038461538461538464,1,0.11764705882352941,0.03076923076923077,1,0.3333333333333333,0.3333333333333333,0.014285714285714285,0.014285714285714285,0.4,0.09090909090909091,0.010752688172043012,0.3333333333333333,0.1,0.5,1,0.10126582278481013,0.6666666666666666,1,0.021505376344086023,0.014925373134328358,0.3333333333333333,1,0.014285714285714285,0.4,0.02197802197802198,0.05263157894736842,0.010752688172043012,0.013888888888888888,0.007462686567164179,0.3333333333333333,1,0.02,0.5,1,1,0.16666666666666666,2,1,1,0.027777777777777776,0.3333333333333333,0.3333333333333333,0.2,0.5,0.25,0.5,0.5,0.11764705882352941,0.02702702702702703,0.2,0.2,0.019230769230769232,0.009174311926605505,1,0.02564102564102564,0.07142857142857142,0.08695652173913043,0.022388059701492536,0.25,0.007462686567164179,0.019230769230769232,0.05,0.011194029850746268,0.027522935779816515,2,1,0.01282051282051282,1,0.2,2,1,0.10526315789473684,0.5,0.03571428571428571,0.5,0.014084507042253521,0.6,0.03731343283582089,0.2,0.08333333333333333,0.005128205128205128,0.1,0.027777777777777776,1,0.011111111111111112,0.022388059701492536,0.2,0.011111111111111112,1,1,1,0.5,0.3333333333333333,1,0.3333333333333333,1,0.014925373134328358,0.037037037037037035,0.018867924528301886,0.16666666666666666,0.5,0.5,0.037037037037037035,0.3333333333333333,0.0625,0.5,0.038461538461538464,0.038461538461538464,2,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.011194029850746268,0.10526315789473684,0.05,0.5,0.047619047619047616,0.2222222222222222,1,0.022222222222222223,0.014084507042253521,1,0.5,0.17307692307692307,0.041666666666666664,1,2,0.16666666666666666,1,0.06666666666666667,0.3333333333333333,0.5,1,1,0.2,0.014925373134328358,0.05660377358490566,1,0.08108108108108109,0.1,1,0.14285714285714285,0.3333333333333333,0.5,0.038461538461538464,0.11538461538461539,0.5,0.0625,0.5,1,0.025974025974025976,2,1,1,1,0.1111111111111111,0.5,0.014925373134328358,0.07142857142857142,0.5,1,0.5,0.3333333333333333,1,2,0.020512820512820513,0.25,0.015384615384615385,0.014285714285714285,0.018656716417910446,0.014925373134328358,0.058823529411764705,0.125,1,0.25,1
0.057692307692307696,0.09090909090909091,0.2857142857142857,0.25,0.5,0.03225806451612903,0.15,0.057692307692307696,0.3333333333333333,0.14705882352941177,2,1,0.012658227848101266,0.018518518518518517,1,1,0.3333333333333333,3,1,0.1,0.018518518518518517,0.014925373134328358,0.19047619047619047,2,0.3333333333333333,1,0.02702702702702703,1,0.3333333333333333,0.5,0.028985507246376812,0.2631578947368421,0.2,0.125,0.014492753623188406,1,0.1111111111111111,0.010752688172043012,1,0.6666666666666666,1,0.25,0.04,0.5,0.14285714285714285,1,0.047619047619047616,0.017543859649122806,0.037037037037037035,0.013888888888888888,1,1,1,0.057692307692307696,1,0.015384615384615385,2,1,0.04,0.013761467889908258,0.014925373134328358,0.018518518518518517,2,0.013761467889908258,0.06666666666666667,1,1,0.0625,0.014925373134328358,0.5,1,0.013761467889908258,1,1,0.09090909090909091,0.007142857142857143,1,0.631578947368421,0.05263157894736842,0.09090909090909091,0.5,0.125,0.007462686567164179,0.058823529411764705,0.5,0.03508771929824561,0.046296296296296294,0.05263157894736842,0.1,1,0.022222222222222223,0.1111111111111111,0.25,0.08333333333333333,1,1,1,0.1,0.25,1,1,0.007462686567164179,1,0.005128205128205128,0.03333333333333333,0.014925373134328358,0.058823529411764705,0.0625,0.0196078431372549,0.058823529411764705,1,0.022222222222222223,0.05263157894736842,0.16666666666666666,1,0.009259259259259259,0.009174311926605505,0.06451612903225806,0.019867549668874173,0.2,0.11764705882352941,0.01639344262295082,0.25,0.1111111111111111,0.2,0.054945054945054944,0.01834862385321101,0.041666666666666664,0.04,1,0.0196078431372549,2,0.07692307692307693,0.012658227848101266,0.013761467889908258,1,0.5,1,0.25,1,0.25,0.03296703296703297,0.05263157894736842,1,1,0.0196078431372549,1,0.09230769230769231,0.025974025974025976,0.0037313432835820895,1,0.027777777777777776,1,0.25,1,0.027777777777777776,1,1,0.03773584905660377,0.16666666666666666,0.2857142857142857,0.5,0.05,0.022727272727272728,1,0.4,1,0.25,1,0.5,0.007462686567164179,0.045454545454545456,0.3333333333333333,0.020512820512820513,0.08571428571428572,0.3333333333333333,0.058823529411764705,0.007142857142857143,0.05263157894736842,0.014925373134328358,0.013888888888888888,0.5,0.3333333333333333,1,0.019230769230769232,0.08,0.05263157894736842,0.08823529411764706,1,0.16666666666666666,0.018518518518518517,1,0.011111111111111112,1,0.01639344262295082,0.033112582781456956,0.25,0.0196078431372549,1,0.5,0.007462686567164179,0.5,0.5,1,0.3333333333333333,0.011194029850746268,1,0.1076923076923077,0.022222222222222223,0.05,1,0.014084507042253521,0.025,0.009259259259259259,0.022727272727272728,1,0.11538461538461539,0.022222222222222223,1,0.009174311926605505,1,2,0.1111111111111111,0.019230769230769232,0.1,0.1,1,0.25,0.11764705882352941,0.09285714285714286,1,0.5,1,1,0.2222222222222222,1,1,0.037037037037037035,1,0.030303030303030304,1,0.3333333333333333,0.25,0.04477611940298507,0.058823529411764705,1,0.2,0.047619047619047616,0.25,0.022222222222222223,1,1,0.16666666666666666,0.16666666666666666,0.01098901098901099,1,0.16666666666666666,0.3333333333333333,0.5,0.038461538461538464,1,1,0.0125,0.05263157894736842,0.16666666666666666,1,0.15,0.027777777777777776,0.0125,1,0.14285714285714285,1,0.2,0.16666666666666666,1,1,1,0.0196078431372549,1,0.3333333333333333,1,1,0.013761467889908258,0.007142857142857143,0.010752688172043012,0.018518518518518517,0.03225806451612903,1,1,0.013888888888888888,0.03508771929824561,0.1,1,0.1111111111111111,1,0.3333333333333333,4,0.011194029850746268,0.25,0.5,0.09090909090909091,0.02857142857142857,0.007142857142857143,0.3333333333333333,0.0379746835443038,1,1,1,0.007246376811594203,1,1,0.11538461538461539,0.2222222222222222,0.019230769230769232,0.011111111111111112,1,0.16666666666666666,0.08333333333333333,1,0.25,0.5,1,0.02857142857142857,0.125,0.3333333333333333,0.011194029850746268,0.011194029850746268,0.5,1,1,1,0.015384615384615385,1,0.005128205128205128,0.03225806451612903,1,0.07142857142857142,0.13043478260869565,1,1,1,0.029850746268656716,1,0.125
0.01834862385321101,0.058823529411764705,1,1,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.0784313725490196,0.1,2,0.25,0.007462686567164179,1,0.07692307692307693,0.5,0.2857142857142857,0.0037313432835820895,0.5,1,0.017543859649122806,0.02564102564102564,0.05,1,0.018867924528301886,1,0.03225806451612903,0.5,0.05,1,0.25,0.011111111111111112,1,0.16666666666666666,0.2,0.2,0.041666666666666664,0.019230769230769232,0.03571428571428571,0.5,0.028169014084507043,1,0.5,0.125,1,0.5,0.5,1,0.14285714285714285,2,0.2,0.125,0.007462686567164179,0.0037313432835820895,1,0.06451612903225806,1,0.022222222222222223,1,0.014084507042253521,0.2,0.5,1,1,1,0.3333333333333333,1,0.058823529411764705,0.014925373134328358,0.3,0.09090909090909091,0.5,0.007462686567164179,1,0.5,0.007462686567164179,1,0.013761467889908258,0.03731343283582089,0.1,0.2,0.019230769230769232,1,0.2222222222222222,0.025,0.0037313432835820895,0.5,1,0.009174311926605505,0.125,0.036231884057971016,0.018518518518518517,1,0.005128205128205128,0.012658227848101266,1,0.5,1,0.05,0.3333333333333333,0.006622516556291391,0.1111111111111111,1,0.3333333333333333,0.25,1,0.013761467889908258,1,1,1,1,0.125,0.1111111111111111,1,1,0.014925373134328358,0.03296703296703297,1,1,0.5,1,1,0.1,0.5,0.5454545454545454,0.022222222222222223,0.5,2,1,0.014084507042253521,0.019230769230769232,1,0.3333333333333333,1,2,0.025,1,1,0.4,0.5,1,0.013245033112582781,1,0.041666666666666664,0.16666666666666666,0.006622516556291391,1,0.5,0.07142857142857142,0.14285714285714285,1,0.015384615384615385,0.5,1,1,1,0.16666666666666666,1,1,0.007246376811594203,0.035897435897435895,1,0.5,0.022727272727272728,1,0.11764705882352941,0.0625,0.3333333333333333,0.0125,0.5,0.05263157894736842,1,0.17647058823529413,0.014285714285714285,1,0.014925373134328358,0.047619047619047616,0.013761467889908258,0.038461538461538464,0.6666666666666666,0.014084507042253521,0.013761467889908258,1,1,0.005128205128205128,0.5,1,1,0.029850746268656716,0.007142857142857143,0.006622516556291391,0.005128205128205128,2,0.02564102564102564,0.06666666666666667,0.125,0.015384615384615385,1,0.25,0.014492753623188406,1,0.007462686567164179,1,1,0.02702702702702703,1,0.047619047619047616,1,0.2857142857142857,0.05,1,0.14285714285714285,1,1,0.1111111111111111,0.009259259259259259,1,0.047619047619047616,0.3333333333333333,0.2222222222222222,0.14285714285714285,1,0.018656716417910446,0.015384615384615385,0.025974025974025976,1,0.012987012987012988,0.5,0.027777777777777776,0.02197802197802198,1,0.02564102564102564,0.5,0.12,1,0.005128205128205128,0.2,0.047619047619047616,0.047619047619047616,1,0.03076923076923077,1,1,0.25,0.017543859649122806,1,0.028169014084507043,0.009174311926605505,0.23529411764705882,1,0.022727272727272728,0.23529411764705882,1,0.5,0.42857142857142855,0.25,0.010256410256410256,1,1,1,0.029850746268656716,1,0.014925373134328358,0.11538461538461539,0.028985507246376812,1,0.018867924528301886,0.125,0.18181818181818182,0.020512820512820513,0.25,0.019230769230769232,1,0.014492753623188406,0.1111111111111111,0.08333333333333333,1,1,0.5,0.16666666666666666,1,0.014925373134328358,1,0.3333333333333333,0.5,0.09090909090909091,0.25,0.019867549668874173,1,1,0.04477611940298507,0.045454545454545456,1,0.011111111111111112,0.025,0.5,0.009259259259259259,0.5,0.058823529411764705,1,0.02702702702702703,1,2,0.2,0.25,0.3333333333333333,1,1,0.0196078431372549,0.014492753623188406,0.007142857142857143,0.2,0.125,1,1,0.019867549668874173,0.25,0.0375,0.5,0.0196078431372549,1,0.09090909090909091,0.03225806451612903,1,0.09230769230769231,0.013245033112582781,0.07692307692307693,0.02702702702702703,1,0.19047619047619047,0.010752688172043012,0.047619047619047616,1,1,1,0.1,1,3,0.06481481481481481,1,0.3333333333333333,0.047619047619047616,0.14285714285714285,0.25,0.5
0.3333333333333333,1,0.007462686567164179,0.125,1,0.043010752688172046,1,0.4,0.25,0.5,0.04,1,0.038461538461538464,1,1,1,0.007462686567164179,0.13333333333333333,0.5,0.013245033112582781,1,0.5,0.5,0.25,1,0.038461538461538464,1,0.1111111111111111,0.03571428571428571,0.2,0.2,0.038461538461538464,0.020833333333333332,1,0.05405405405405406,0.022222222222222223,0.3333333333333333,0.007246376811594203,1,0.75,1,0.08571428571428572,1,0.5,0.038461538461538464,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,1,0.14285714285714285,0.05263157894736842,0.018518518518518517,1,0.5,0.01639344262295082,0.14285714285714285,0.08333333333333333,0.14285714285714285,1,1,0.10126582278481013,0.2,0.25,1,0.025,0.01834862385321101,0.5,0.1111111111111111,0.03076923076923077,1,0.013245033112582781,0.013761467889908258,0.1,0.029850746268656716,1,0.03125,0.16666666666666666,0.5,0.09090909090909091,0.11764705882352941,1,1,1,0.5,0.14285714285714285,0.1111111111111111,0.6666666666666666,1,0.3333333333333333,0.5,1,1,1,0.07142857142857142,0.0196078431372549,1,0.2,0.013245033112582781,0.14285714285714285,0.014925373134328358,0.07692307692307693,0.5,0.10526315789473684,0.09090909090909091,1,1,0.047619047619047616,0.012987012987012988,0.022388059701492536,0.2,0.09090909090909091,1,1,1,0.3333333333333333,0.005128205128205128,1,1,0.25,0.1,0.5,0.02142857142857143,0.4,1,0.022222222222222223,0.014492753623188406,0.2,0.006622516556291391,0.5,0.125,1,1,0.030303030303030304,1,0.25,0.045454545454545456,0.07142857142857142,1,0.3333333333333333,0.010752688172043012,0.16666666666666666,1,0.5,0.3333333333333333,0.014925373134328358,0.1111111111111111,0.4,1,2,0.16666666666666666,0.013761467889908258,0.01098901098901099,1,0.05555555555555555,0.11764705882352941,1,0.16666666666666666,0.09090909090909091,1,1,0.13333333333333333,0.2,0.05263157894736842,0.3333333333333333,1,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.6666666666666666,0.041666666666666664,0.02142857142857143,1,0.14285714285714285,0.022222222222222223,1,0.0392156862745098,0.6666666666666666,0.046296296296296294,2,0.011111111111111112,0.5,0.007462686567164179,0.16666666666666666,0.030303030303030304,1,1,1,0.047619047619047616,0.01282051282051282,0.014492753623188406,1,0.010752688172043012,0.1111111111111111,0.5,0.012987012987012988,1,0.36363636363636365,1,0.3333333333333333,0.3333333333333333,0.013761467889908258,0.16666666666666666,2,1,0.5,0.011194029850746268,1,0.015384615384615385,1,1,1,0.5,1,0.16666666666666666,0.018656716417910446,0.021505376344086023,0.17647058823529413,0.01834862385321101,1,0.014492753623188406,0.012987012987012988,1,0.043010752688172046,0.3333333333333333,0.09090909090909091,0.013761467889908258,0.019230769230769232,0.022222222222222223,1,0.5,0.3333333333333333,0.0037313432835820895,0.3333333333333333,0.025,1,0.009683252639561338,0.047619047619047616,0.011111111111111112,2,0.16666666666666666,0.14285714285714285,0.014925373134328358,0.5,0.5,0.007462686567164179,0.14285714285714285,0.3333333333333333,0.017543859649122806,0.007462686567164179,0.01834862385321101,0.125,0.3333333333333333,0.06,0.05,0.125,1,0.4,1,0.011194029850746268,1,1,0.012987012987012988,0.16666666666666666,1,0.5,0.16666666666666666,0.4,1,0.025974025974025976,1,0.2,0.25,1,1,0.25,0.6666666666666666,0.5,0.16666666666666666,1,1,0.5,0.5,0.020512820512820513,0.6666666666666666,0.05,1,0.14285714285714285,0.03333333333333333,0.14285714285714285,0.25,0.03296703296703297,1,0.3333333333333333,0.7142857142857143,1,1,1,0.0375,0.4166666666666667,0.006622516556291391,0.5,2,0.07142857142857142,1,0.125,1,0.15,0.5,0.057692307692307696,0.3333333333333333,1,1,0.014285714285714285,0.0379746835443038,0.010256410256410256,0.3333333333333333,0.14285714285714285,0.1111111111111111,0.007246376811594203,1,0.5,1,0.07692307692307693,0.2857142857142857,0.011111111111111112,1,2,1,0.09090909090909091,0.5,0.2,1,0.2,0.5,1,1,1,0.014925373134328358,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.025,0.05263157894736842
0.044444444444444446,0.5,0.1111111111111111,0.5,0.2,0.013245033112582781,1,1,1,1,1,0.025,0.5,0.028985507246376812,0.5,0.03125,0.2,0.3333333333333333,1,0.10526315789473684,0.2,0.125,0.009683252639561338,1,1,0.013245033112582781,0.020512820512820513,0.1111111111111111,1,0.16666666666666666,0.018518518518518517,0.5,0.011111111111111112,0.5,1,1,2,0.3333333333333333,1,0.2857142857142857,0.25,0.02142857142857143,0.015384615384615385,1,0.005128205128205128,1,0.007246376811594203,1,0.05263157894736842,0.125,0.2222222222222222,0.020512820512820513,0.028985507246376812,1,0.014925373134328358,1,0.0037313432835820895,0.5,0.038461538461538464,0.02197802197802198,0.1,0.5,0.058823529411764705,0.04477611940298507,0.2,0.25,0.0125,1,0.5,1,0.07142857142857142,0.125,0.5,1,0.25,0.041666666666666664,0.07692307692307693,0.028169014084507043,0.007462686567164179,1,0.6,1,0.23529411764705882,0.03571428571428571,1,0.17307692307692307,0.2,0.03125,0.03508771929824561,1,0.022222222222222223,0.06666666666666667,0.05194805194805195,0.014925373134328358,1,0.022222222222222223,0.025,0.02857142857142857,0.0045871559633027525,1,0.027777777777777776,1,1,1,1,0.5,0.42857142857142855,0.038461538461538464,0.25,0.5,0.014925373134328358,1,0.1111111111111111,0.01834862385321101,1,0.25,0.5,0.16666666666666666,0.25,1,1,1,0.06666666666666667,1,1,0.5,0.25,0.019230769230769232,0.14285714285714285,1,0.25,0.012658227848101266,0.0625,0.007246376811594203,1,0.014925373134328358,1,0.5,0.025974025974025976,1,0.021505376344086023,0.038461538461538464,0.16666666666666666,0.5,0.5,1,1,0.3333333333333333,0.25,1,0.3333333333333333,0.5,0.009683252639561338,0.25,1,0.027522935779816515,2,0.3333333333333333,0.005128205128205128,1,0.3,0.5,1,0.026119402985074626,0.5,1,1,0.017543859649122806,1,0.5,0.013245033112582781,0.3333333333333333,0.019230769230769232,0.010256410256410256,0.25,0.125,0.2,0.1,1,0.5,0.25,0.2,0.5,1,1,0.1111111111111111,0.2,1,0.25,0.5,1,0.015384615384615385,1,1,1,2,0.3333333333333333,0.0037313432835820895,0.1111111111111111,1,0.2727272727272727,1,1,0.25,0.05263157894736842,0.029850746268656716,0.3333333333333333,0.038461538461538464,1,1,0.014925373134328358,0.14285714285714285,1,0.037037037037037035,0.03225806451612903,0.08333333333333333,0.017543859649122806,0.03278688524590164,1,0.009624919792335063,0.022388059701492536,0.07142857142857142,1,0.16666666666666666,1,1,0.25,0.03571428571428571,1,0.1111111111111111,0.05660377358490566,1,0.014084507042253521,0.007142857142857143,0.07692307692307693,0.047619047619047616,0.05555555555555555,0.09285714285714286,0.022935779816513763,0.047619047619047616,0.041666666666666664,0.07142857142857142,1,0.058823529411764705,0.05263157894736842,0.005128205128205128,0.25,0.5,0.14285714285714285,4,0.5,0.08,0.019230769230769232,0.025974025974025976,0.047619047619047616,0.025,0.1111111111111111,0.5,0.010752688172043012,0.5,0.08333333333333333,1,0.3333333333333333,1,0.014285714285714285,1,0.16666666666666666,1,1,0.011111111111111112,0.5,0.3333333333333333,0.007462686567164179,0.03225806451612903,1,1,1,0.4444444444444444,0.25,0.03571428571428571,0.025,0.5,0.009683252639561338,1,0.011194029850746268,1,0.022388059701492536,0.009595753368721927,1,0.05405405405405406,0.014492753623188406,1,0.5,1,0.4,0.014925373134328358,0.04395604395604396,0.3333333333333333,1,0.5,1,0.022388059701492536,1,0.1,0.011194029850746268,1,0.013245033112582781,0.5,0.07142857142857142,0.027777777777777776,0.09523809523809523,0.007462686567164179,0.5,1,0.013761467889908258,0.006622516556291391,1,0.3333333333333333,0.14285714285714285,0.11538461538461539,0.043478260869565216,0.125,0.5,0.022222222222222223,0.1111111111111111,0.5,1,0.3333333333333333,0.3333333333333333,0.020512820512820513,2,0.03076923076923077,0.0625,0.022935779816513763,1,0.5,0.08333333333333333,0.13333333333333333,0.02702702702702703,1,0.3333333333333333,0.007246376811594203,0.015384615384615385,0.5
